L288	145.9	93	79.5	77.1
L289	144.3	93.4	81.6	79
L290	139.1	88.7	79.2	80.1
L291	151.8	100.8	95.1	83.5
L292	149.1	98.7	93.2	80.6
L293	153.5	99.4	91.7	83.4
L294	150.1	98.9	92.9	82.2
L295	163.2	106.1	98.6	88.3
L296	141.1	94	81	77.8
L297	144.3	94.7	81.2	79.1
L298	145.8	91.4	82.4	80.3
L299	140.3	93.1	80.9	76.8
L300	140.8	92.3	80.7	77
L301	160.6	106.6	97.9	86.9
L302	148.3	95.6	82.6	80.4
L303	145	95.2	80.6	80.2
L304	159.8	105.8	97.5	89.4
L305	151.6	102.9	98.7	81.5
L306	137.5	92.7	78.9	75.7
L307.1	82.4	61.3	75.3	123.7
L307.2	151.9	94.3	92.4	125.1
L308	152.6	101.1	93.9	81.9
L309	143.7	90.9	81.5	81.4
L310	158.1	103.5	99.9	129.4
L311	144.8	92.8	79.8	78.5
L312	147.4	94.7	78.5	80.1
L313.1	106.5	104.3	126.4	86.8
L313.2	158.2	103.6	124.6	87.9
L314	143.2	91.5	81	77.7
L315	150.9	98.2	93.6	83.6
L316	150	98.8	96.9	83.6
L317	145.3	93.2	82.5	77.4
L318	160	105.8	99	86.7
L319	147.4	97.4	83.1	79.8
L320	156.1	104	96.9	86.9
L321	157.4	106.4	97.9	87.6
L322	150	102.4	91.7	82.2
L323	163.2	102.9	97.7	127.9
L324	161.9	110.9	99.1	87.5
L325	141.7	94.5	78.3	77.5
L326	145.1	95.5	80.9	77.7
L327	150.9	101.8	94.3	83
L328	146.4	95.8	80.9	79.3
L329	143.1	95.1	78.9	77.2
L330	151.5	96	81.2	81.7
L331	146.1	96	83.4	77.6
L332	142.8	93.9	81.2	77.3
L333	147.7	87.2	74.8	75.9
L334	137	89	81.3	75.2
L335	146.3	96.9	80.8	79.2
L336	160.8	110	98.1	87.9
L337	142.5	91.2	79.5	76.8
L338	147.8	95.8	82.6	79
L339	143	90.9	79.7	77.3
L340	142	90.9	79.1	75.6
L341	143.1	91.5	79	78.4
L342	145.9	96.3	81.8	81
L343	157.8	104.1	95.5	85.3
L344	160.7	105.6	94.4	86.4
L345	157.4	101.9	96.7	82.2
L346	149.9	102.2	94.2	88.1
L347	142.2	90.5	81.1	77.7
L348	140	92.9	80.5	78.1
L349	159.9	105.7	95.6	86.3
L350	143.2	93.7	83	78.3
L351	139.4	88.9	80.6	76.5
L352	158.5	105	96.1	86.7
L353	149.7	99.3	93.3	83.9
L354	148.2	95.6	83.3	80.3
L355	157.5	105.3	96.3	85.3
L356	140	91.6	79.7	76.6
L357	134.9	90	77	73.8
L358	156.6	109.3	98.6	85.6
L359	141.6	90.2	81.2	78.5
L360	146.2	96.7	81	79.1
L361	147.7	95.5	84.8	78.8
L362	138.8	92.9	78.9	75.6
L363	138.7	90.9	81.6	77.7
L364	144.8	91.7	81.7	77.2
L365	161.5	102.9	94	85.6
L366	156.1	101.1	94.7	83
L367	153	100.3	94.8	82.3
L368	163.2	108.1	98.2	132.4
L369	99.7	103.8	156.4	83.2
L370.2	164	108.6	140.3	88.6
L371	159.5	110.2	100.1	87.2
L372.1	81.6	62.2	74.4	126.7
L372.2	153.2	98.4	94.6	125.8
L373	153.6	101.3	126.1	87.9
L374	149.9	101.6	94.4	83.8
L375.1	79.4	62.4	77.7	124.2
L375.2	155	102	94.5	122.5
L376.1	82.3	72.6	84.3	70.8
L376.2	162.7	108.5	98.5	129.4
L377	94.3	100.1	158	74
L378	148	100.8	170.6	81.8
L379	164.9	107.5	97.5	128.2
L380	164.2	109.9	98.3	131
L381.1	81.6	63.5	76.1	128.8
L381.2	153.8	102.9	94.6	117.5
L382.1	118.3	91	84.9	127.4
L382.2	152.7	100.9	96	125.1
L383.1	81.4	63.1	75.9	131.1
L383.2	157.3	103.4	95.9	124
L384	163.3	108.1	97.4	127.8
L385.2	155.8	103.8	95.2	85.7
L386	165	108.8	97.6	87.9
L387	153.9	100.6	92.1	87
L388	166.4	105.2	95	127.5
L389	147.9	97.5	160.2	83.6
L390.1	142.9	104.8	167.6	82.2
L390.2	154.1	102.9	99.5	84.8
L391.1	80	66.2	72.3	128.5
L391.2	154.8	102.6	97	128.5
L392.1	128.1	99.3	148.4	74.8
L392.2	169.2	107.6	142	123.8
L393	162.9	105.2	96.5	87.7
L394	150.5	102.7	94.7	83.5
L395	166.1	111	98.3	127.5
L396	153.6	101.9	96.3	85.6
L397	139.8	95.6	80.9	79.5
L398	145.8	96.7	82.9	78.3
L399	145	95.6	81.7	79
L400	148.7	96.5	82.4	79.4
L401	136.3	91.1	75.7	76.2
L402	144.7	95.2	82.6	78.5
L403	149.4	95.2	83	80.2
L404	150.4	97.2	82.6	81.9
L405	147.1	96	84.8	79.6
L406	148.3	96	81.7	80.3
L407	150.2	97.6	82	78.9
L408	140.7	95.5	78.3	79.4
L409	129.3	88.7	76.8	71.3
L410	79.5	62.1	75.5	121
L411	82.8	60	74.5	124.5
L412	155.2	95.3	86.3	79.4
L413	161.2	109.4	100.5	93.5
L414	151.5	96.5	83.8	80.1
L415	131.4	84.1	73.6	72.1
L416	150	96	84.8	81.3
L417	136.3	95.3	78.5	74.7
L418	142.8	94.2	84.6	78.4
L419	144.4	93.7	81.8	79.3
L420.2	145.6	93.3	82.9	78.3
L421	142.4	93.1	87.1	80.8
L422	144.6	92.1	81.6	78.6
L423	148.1	97.3	81.2	79.9
L424.1	145.3	95.5	81.5	78
L424.2	130.5	84.8	73.1	76
L424.3	149.9	95.9	82.6	80.7
L425	150.3	92.5	79.1	77.3
L426	145.4	95.4	82.3	79.3
L427	145.6	96.2	82.3	80.7
L428	140	89	77.2	76.2
L429	136.1	87.5	75	74.1
L430	135.2	86.4	77.9	77.4
L431	144.5	87.8	80	77.1
L432	136	89.6	77.5	76
L433	137.5	88.3	77.8	76.8
L434	136.8	87.2	77	74.9
L435	145.6	93.1	81.1	77.6
L436	142.5	91.5	79.4	78.3
L437	137.3	94	87.9	77.3
L438	138.4	94.9	93.6	78
L439	137.4	90.9	87.1	80.2
L440	143.6	92.3	82.3	77.7
L441	124.5	84.2	105.2	123.3
L442	141.7	92.7	80	77.6
L443	152	95.3	83.9	79.4
L444	142.2	92.1	81.4	77
L445	138.7	90.2	78.8	75.5
L446	141.8	92.9	82.3	77.8
L447	142	91.1	81.4	75.9
L448	144.2	93.1	80.4	78.7
L449	148	96.8	82.4	83.1
L450	145.8	92.8	82.3	78.6
L451	148.5	95.6	82.4	78.8
L452	140.2	93.9	82.1	79
L453	149.7	97.4	83.9	80.2
L454	148.9	97.9	81.6	80.5
L455	149.2	97.1	82.7	80.5
L456	146.5	94.3	80.1	76.9
L457	147.5	99.2	85.3	79.4
L458	142.3	90.9	82.4	78.1
L459	141.7	92.7	82.6	76.6
L460	139.4	90.2	80.6	77
L461	141.1	91.1	78.6	78.3
L462	151.9	94.5	82.2	77.7
L463	150.2	99.1	85.1	80.1
L464	148.5	96.5	83.4	80
L465	130	86.7	76.3	76.7
L466	145	94.1	81.5	77.1
L467	148.2	95.7	83.7	80.4
L468	149.7	96	85.6	81.6
L469	152.1	96.5	83.5	79.3
L470	151.2	94.8	79.9	78.3
L471	138.4	89.8	79.7	76.9
L472	141.8	92.5	82.1	77
L473	143.7	93.6	80.4	76.2
L474	146.6	92.2	81.3	78.3
L475	148.3	97.7	82	80.2
L476	143.3	89.2	79.8	75.4
L477	142.6	90.2	78.7	77.6
L478	139.9	93.2	79.6	77.1
L479	149.4	97.2	83	78.4
L480	145	93.5	81.7	78.6
L481	146.6	96.4	82.8	79
L482	149.8	96.3	82.9	81.2
L483	153.2	94.2	83	81.1
L484	141.8	92.3	81.5	77.4
L485	148.4	95.8	82.4	78.7
